drugCode,interactingDrugCode,interactingDrugName,severity,mechanism,recommendation,isHypothetical,references
,,lisinopril,mild,Additive hypoglycemic effect,"Monitor blood glucose, adjust doses as needed",,
,,insulin,moderate,Additive hypoglycemic effect,Reduce insulin dose by 10-20% when initiating metformin,,
,,alcohol,severe,Increased lactate production,Avoid alcohol consumption,,
,,contrast_dye,severe,Renal impairment increases metformin levels,Hold 48 hours before and after contrast studies,,
,,warfarin,severe,Additive anticoagulant and antiplatelet effects,Consider alternatives or use lowest effective aspirin dose with close INR monitoring,,
,,ibuprofen,moderate,Competitive inhibition of COX-1,Take aspirin at least 2 hours before ibuprofen,,
,,clopidogrel,mild,Additive antiplatelet effects,"Use combination only when clearly indicated, monitor for bleeding",,
,,prednisone,moderate,Both drugs irritate GI mucosa,Consider PPI prophylaxis,,
,,potassium,moderate,ACE inhibitors reduce potassium excretion,"Monitor serum potassium, especially in renal impairment",,
,,spironolactone,moderate,Both drugs increase serum potassium,Monitor potassium levels weekly initially,,
,,nsaids,moderate,NSAIDs inhibit renal prostaglandin synthesis,Monitor blood pressure and renal function,,
,,lithium,moderate,ACE inhibitors reduce lithium clearance,Monitor lithium levels closely,,
,,grapefruit,moderate,Inhibition of CYP3A4 metabolism,Avoid grapefruit and grapefruit juice,,
,,clarithromycin,severe,CYP3A4 inhibition increases statin levels,Consider alternative antibiotic or temporarily hold statin,,
,,cyclosporine,severe,CYP3A4 inhibition and transporter inhibition,Avoid combination; use alternative statin if needed,,
,,gemfibrozil,severe,Multiple mechanisms increase statin levels,Avoid combination; consider fenofibrate if fibrate needed,,
,,vitamin_k,moderate,Vitamin K antagonizes warfarin effect,Maintain consistent dietary vitamin K intake,,
,,amiodarone,severe,CYP2C9 inhibition,"Reduce warfarin dose by 30-50%, monitor INR closely",,
,,nsaids,severe,Additive anticoagulant effect and GI toxicity,Avoid combination; use acetaminophen instead,,
,,metronidazole,severe,CYP2C9 inhibition,"Reduce warfarin dose by 20-30%, monitor INR every 2-3 days",,
,,fluconazole,severe,CYP2C9 inhibition,"Reduce warfarin dose by 25-50%, monitor INR closely",,
,,calcium,moderate,Chelation in GI tract,Separate administration by at least 4 hours,,
,,iron,moderate,Chelation in GI tract,Separate administration by at least 4 hours,,
,,antacids,moderate,Altered gastric pH,"Take levothyroxine on empty stomach, separate from antacids by 4 hours",,
,,proton_pump_inhibitors,mild,Reduced gastric acidity,"Monitor TSH levels, may need dose increase",,
,,insulin,moderate,Additive glucose-lowering effect,"Reduce insulin dose by 20% when starting, monitor glucose closely",,
,,oral_diabetes_medications,moderate,Additive glucose-lowering effect,"Monitor glucose levels, adjust oral medications as needed",,
,,grapefruit,severe,Inhibition of intestinal CYP3A4,Avoid all grapefruit products,,
,,warfarin,moderate,Metabolic interference,Monitor INR when starting or stopping simvastatin,,
,,amlodipine,moderate,CYP3A4 inhibition,Do not exceed simvastatin 20mg daily with amlodipine,,
,,nsaids,moderate,Both drugs damage GI mucosa,"Consider PPI prophylaxis, use lowest effective doses",,
,,warfarin,moderate,Multiple mechanisms,Monitor INR more frequently,,
,,live_vaccines,severe,Immunosuppression,Avoid live vaccines while on prednisone ≥20mg daily,,
,,digoxin,moderate,Potassium depletion enhances digoxin binding,Monitor potassium and digoxin levels closely,,
,,lithium,moderate,Reduced renal clearance,"Monitor lithium levels, may need dose reduction",,
,,aminoglycosides,moderate,Additive toxicity,Monitor renal function and hearing,,
,,sertraline,moderate,Additive serotonergic activity,"Monitor for agitation, confusion, rapid heart rate, high blood pressure",,
,,warfarin,moderate,Unknown,Monitor INR closely,,
,,ondansetron,moderate,Additive serotonergic activity,"Use with caution, monitor for serotonin syndrome",,
,,tramadol,moderate,Additive serotonergic activity,"Use combination with caution, educate patient about symptoms",,
,,warfarin,moderate,Inhibition of platelet function,Monitor INR and for signs of bleeding,,
,,nsaids,moderate,SSRIs inhibit platelet function,Monitor for unusual bleeding or bruising,,
,,clopidogrel,moderate,CYP2C19 inhibition,Consider alternative PPI (pantoprazole least affected) or H2 blocker,,
,,methotrexate,moderate,Reduced renal clearance,Monitor methotrexate levels and toxicity,,
,,clopidogrel,severe,CYP2C19 inhibition,Avoid combination; use alternative PPI or H2 blocker,,
,,warfarin,severe,CYP metabolism inhibition,"Monitor INR closely, may need dose reduction",,
,,theophylline,severe,CYP1A2 inhibition,"Monitor theophylline levels, reduce dose by 50%",,
,,warfarin,moderate,Unknown,Monitor INR,,
,,simvastatin,moderate,Unknown,"Use with caution, educate about muscle pain",,
,,aspirin,moderate,Additive anticoagulant and antiplatelet effects,Use combination only when clearly indicated,,
,,nsaids,severe,Additive effects,Avoid combination if possible,,
,,ketoconazole,severe,CYP3A4 and P-gp inhibition,Reduce apixaban dose by 50%,,
,,nsaids,severe,Reduced renal clearance,Avoid combination; use acetaminophen instead,,
,,trimethoprim,severe,Additive antifolate effect,Avoid combination,,
,,simvastatin,moderate,CYP3A4 inhibition,Limit simvastatin to 20mg daily,,
,,grapefruit,mild,CYP3A4 inhibition,Avoid large amounts of grapefruit,,
,,amiodarone,severe,P-glycoprotein inhibition,Reduce digoxin dose by 50%,,
,,verapamil,severe,P-glycoprotein inhibition,"Reduce digoxin dose, monitor levels",,
