id,title,description,category,duration,difficulty,created_at,updated_at
1,Comprehensive Family Medicine Program,Complete training in family medicine covering all aspects of primary care for patients of all ages.,Pharmacy,9 hours,Advanced,2026-02-13 00:41:02,2026-02-13 00:41:02
2,Comprehensive Internal Medicine Program,Advanced training in internal medicine covering diagnosis and treatment of adult diseases.,Diagnostics,9 hours,Advanced,2026-02-13 00:41:02,2026-02-13 00:41:02
3,Comprehensive Cardiology Program,Specialized training in cardiovascular medicine covering all aspects of heart disease.,Diagnostics,9 hours,Advanced,2026-02-13 00:41:02,2026-02-13 00:41:02
4,Comprehensive Pediatrics Program,Complete pediatric training covering child health from birth through adolescence.,Pediatrics,9 hours,Advanced,2026-02-13 00:41:02,2026-02-13 00:41:02
5,Anatomy: Professional Medical Course,"Comprehensive course on Anatomy. This course covers fundamentals, diagnosis, management, and advanced topics.",Basic Sciences,240.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
6,Family Medicine: Professional Medical Course,"Comprehensive course on Family Medicine. This course covers fundamentals, diagnosis, management, and advanced topics.",Primary Care & General Medicine,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
7,Internal Medicine: Professional Medical Course,"Comprehensive course on Internal Medicine. This course covers fundamentals, diagnosis, management, and advanced topics.",Primary Care & General Medicine,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
8,Pediatrics: Professional Medical Course,"Comprehensive course on Pediatrics. This course covers fundamentals, diagnosis, management, and advanced topics.",Primary Care & General Medicine,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
9,Geriatrics: Professional Medical Course,"Comprehensive course on Geriatrics. This course covers fundamentals, diagnosis, management, and advanced topics.",Primary Care & General Medicine,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
10,Cardiology: Professional Medical Course,"Comprehensive course on Cardiology. This course covers fundamentals, diagnosis, management, and advanced topics.",Medical Subspecialties,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
11,Endocrinology: Professional Medical Course,"Comprehensive course on Endocrinology. This course covers fundamentals, diagnosis, management, and advanced topics.",Medical Subspecialties,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
12,Gastroenterology: Professional Medical Course,"Comprehensive course on Gastroenterology. This course covers fundamentals, diagnosis, management, and advanced topics.",Medical Subspecialties,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
13,Hematology: Professional Medical Course,"Comprehensive course on Hematology. This course covers fundamentals, diagnosis, management, and advanced topics.",Medical Subspecialties,180.0,advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
14,Neuroanatomy: Professional Course,Comprehensive course on Neuroanatomy covering fundamentals to advanced topics.,Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
15,Cardiology: Professional Course,Comprehensive course on Cardiology covering fundamentals to advanced topics.,Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
16,Medical Ethics: Professional Course,Comprehensive course on Medical Ethics covering fundamentals to advanced topics.,Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
17,Clinical Anatomy: Professional Course,Comprehensive course on Clinical Anatomy. Visual Learning (Theoretical/Memorization-Heavy),Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
18,AI in Healthcare: Professional Course,Comprehensive course on AI in Healthcare. Analytical (Applied/Abstract),Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
19,Neuroscience: Professional Course,Comprehensive course on Neuroscience. Clinical Practice (Applied/Memorization),Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
20,Public Health: Professional Course,Comprehensive course on Public Health. Clinical Practice (Applied/Memorization),Generated,540.0,Advanced,2026-02-13 00:50:46,2026-02-13 00:50:46
21,Wilderness Medicine,"Master the skills to manage medical emergencies in remote, resource-limited environments. This course covers environmental injuries, altitude medicine, and trauma stabilization when help is miles away.",Other Medical Specialties,120.0,intermediate,2026-02-13 00:50:46,2026-02-13 00:50:46
22,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:22:34,2026-02-13 01:22:34
23,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:23:35,2026-02-13 01:23:35
24,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:28:16,2026-02-13 01:28:16
25,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:30:31,2026-02-13 01:30:31
26,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:30:38,2026-02-13 01:30:38
27,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-13 01:33:14,2026-02-13 01:33:14
28,Comprehensive Family Medicine Program,Complete training in family medicine covering all aspects of primary care for patients of all ages.,Pharmacy,9 hours,Advanced,2026-02-13 07:57:25,2026-02-13 07:57:25
29,Comprehensive Internal Medicine Program,Advanced training in internal medicine covering diagnosis and treatment of adult diseases.,Diagnostics,9 hours,Advanced,2026-02-13 07:57:25,2026-02-13 07:57:25
30,Comprehensive Cardiology Program,Specialized training in cardiovascular medicine covering all aspects of heart disease.,Diagnostics,9 hours,Advanced,2026-02-13 07:57:25,2026-02-13 07:57:25
31,Comprehensive Pediatrics Program,Complete pediatric training covering child health from birth through adolescence.,Pediatrics,9 hours,Advanced,2026-02-13 07:57:25,2026-02-13 07:57:25
32,Comprehensive Family Medicine Program,Complete training in family medicine covering all aspects of primary care for patients of all ages.,Pharmacy,9 hours,Advanced,2026-02-13 12:15:51,2026-02-13 12:15:51
33,Comprehensive Internal Medicine Program,Advanced training in internal medicine covering diagnosis and treatment of adult diseases.,Diagnostics,9 hours,Advanced,2026-02-13 12:15:51,2026-02-13 12:15:51
34,Comprehensive Cardiology Program,Specialized training in cardiovascular medicine covering all aspects of heart disease.,Diagnostics,9 hours,Advanced,2026-02-13 12:15:51,2026-02-13 12:15:51
35,Comprehensive Pediatrics Program,Complete pediatric training covering child health from birth through adolescence.,Pediatrics,9 hours,Advanced,2026-02-13 12:15:51,2026-02-13 12:15:51
36,Test Course,Desc,Diagnostics,1h,Intermediate,2026-02-14 00:12:02,2026-02-14 00:12:02
37,Pediatric Critical Care & Respiratory Management,"Comprehensive training in pediatric mechanical ventilation, airway management, and respiratory monitoring in collaboration with OpenPediatrics.",Pediatrics,4 hours,Advanced,2026-02-14 08:44:11,2026-02-14 08:44:11
38,Neonatal Emergency & Resuscitation,Essential skills for identifying and managing life-threatening emergencies in neonates and young children.,Pediatrics,2 hours,Intermediate,2026-02-14 08:44:11,2026-02-14 08:44:11
